,time,mu_real,mu_imag
903,0.1806,-0.267056525302,-0.00156390266705
904,0.1808,-0.26705650132,-0.00154787136676
905,0.181,-0.267056480948,-0.00153188839003
906,0.1812,-0.267056464766,-0.00151595424407
907,0.1814,-0.267056452522,-0.00150006958951
908,0.1816,-0.267056444071,-0.00148423488288
909,0.1818,-0.267056439388,-0.00146845071598
910,0.182,-0.267056438558,-0.00145271761645
911,0.1822,-0.267056441333,-0.00143703586322
912,0.1824,-0.267056447955,-0.00142140622483
913,0.1826,-0.267056458223,-0.00140582913411
914,0.1828,-0.267056472127,-0.00139030506927
915,0.183,-0.267056489821,-0.00137483456507
916,0.1832,-0.267056511174,-0.00135941812665
917,0.1834,-0.267056536171,-0.00134405611736
918,0.1836,-0.267056564879,-0.00132874922769
919,0.1838,-0.267056597036,-0.0013134978526
920,0.184,-0.26705663303,-0.00129830251661
921,0.1842,-0.267056672595,-0.00128316375849
922,0.1844,-0.267056715634,-0.00126808213369
923,0.1846,-0.26705676244,-0.00125305803372
924,0.1848,-0.267056812673,-0.00123809203671
925,0.185,-0.267056866322,-0.00122318437726
926,0.1852,-0.267056923467,-0.00120833581114
927,0.1854,-0.267056984218,-0.00119354668029
928,0.1856,-0.267057048398,-0.00117881751553
929,0.1858,-0.267057115948,-0.00116414892348
930,0.186,-0.267057186937,-0.0011495411869
931,0.1862,-0.267057261413,-0.00113499495115
932,0.1864,-0.26705733913,-0.00112051048102
933,0.1866,-0.267057420319,-0.00110608845444
934,0.1868,-0.267057504857,-0.00109172939125
935,0.187,-0.267057592681,-0.00107743342838
936,0.1872,-0.267057683795,-0.00106320131946
937,0.1874,-0.267057778372,-0.00104903341325
938,0.1876,-0.267057876134,-0.00103493014172
939,0.1878,-0.267057977206,-0.00102089222418
940,0.188,-0.267058081317,-0.00100691959597
941,0.1882,-0.267058188734,-0.000993013180036
942,0.1884,-0.267058299306,-0.000979173432972
943,0.1886,-0.267058413085,-0.000965400432207
944,0.1888,-0.267058529885,-0.000951694866012
